episode,steps,reward,success,trajectory
1,100,-9.99999999999998,0,"[(7, 1), (6, 1), (6, 2), (6, 3), (7, 3), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4), (7, 4), (8, 4)]"
2,100,-9.99999999999998,0,"[(9, 5), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4), (8, 5), (8, 4)]"
3,5,99.5,1,"[(7, 8), (6, 8), (5, 8), (4, 8), (3, 8), (3, 9)]"
4,7,99.30000000000001,1,"[(0, 8), (0, 7), (0, 6), (0, 5), (1, 5), (1, 4), (1, 3), (2, 3)]"
5,100,-9.99999999999998,0,"[(3, 8), (4, 8), (4, 7), (4, 6), (5, 6), (6, 6), (6, 5), (6, 4), (7, 4), (7, 3), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2)]"
6,100,-9.99999999999998,0,"[(6, 6), (7, 6), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5), (8, 5), (7, 5)]"
7,5,99.5,1,"[(4, 5), (4, 4), (4, 3), (4, 2), (4, 1), (4, 0)]"
8,100,-9.99999999999998,0,"[(0, 4), (0, 5), (1, 5), (2, 5), (3, 5), (3, 6), (4, 6), (5, 6), (5, 5), (6, 5), (7, 5), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6), (7, 6), (8, 6)]"
9,100,-9.99999999999998,0,"[(7, 0), (7, 1), (8, 1), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2), (8, 2), (7, 2)]"
10,7,99.30000000000001,1,"[(5, 2), (4, 2), (4, 1), (4, 0), (5, 0), (6, 0), (7, 0), (8, 0)]"
